Strike,Entry_price,Exit_price,Exit_message,Entry_time,Exit_time,pnl,candle_in_trade,data_for_filtering_losing_trade_STD_gain_arr,data_for_filtering_losing_trade_Middle_gain_arr,data_for_filtering_losing_trade_prev_row_1m,data_for_filtering_losing_trade_prev_row_1m_gain,Upper_arr,Middle_arr,Lower_arr,STD_arr,pctB_arr,STD_gain_arr,Middle_gain_arr
NIFTY5002JAN2523650CE,235.1,351.768375,tp_1,2025-01-02 10:14:25,2025-01-02 12:25:20,49.62,1558,0.84,-0.79,True,0.41,271.7,248.36,225.02,11.67,0.215938303341902,-2.51,-0.64
NIFTY5009JAN2523450CE,204.55,199.9578525,sl_1,2025-01-08 10:21:25,2025-01-08 10:21:30,-2.25,1,4.35,-0.78,False,-9.97,244.68,221.12,197.56,11.78,0.148344651952462,2.26,-0.7
NIFTY5016JAN2523200CE,215.8,210.95529000000002,sl_1,2025-01-13 10:42:45,2025-01-13 11:03:40,-2.24,251,5.2,-0.79,False,-2.74,251.39,228.36,205.34,11.51,0.2271444082519003,-1.96,-0.65
NIFTY5023JAN2523100CE,214.5,209.68447500000002,sl_1,2025-01-17 10:50:10,2025-01-17 10:50:40,-2.24,6,6.38,-0.64,False,-12.05,255.5,230.78,206.06,12.36,0.1707119741100323,2.91,-0.61
NIFTY5023JAN2523100CE,205.0,200.39775000000003,sl_1,2025-01-17 10:50:45,2025-01-17 10:57:35,-2.24,82,2.43,-0.83,False,-1.96,244.98,220.26,195.53,12.36,0.1915065722952477,-2.37,-0.82
NIFTY5023JAN2523200CE,219.25,214.32783750000002,sl_1,2025-01-21 12:09:00,2025-01-21 12:09:05,-2.24,1,4.84,-0.54,False,-10.01,260.12,236.09,212.06,12.01,0.1496046608406158,4.53,-0.55
NIFTY5023JAN2523050CE,207.9,203.232645,sl_1,2025-01-21 13:20:35,2025-01-21 13:20:45,-2.25,2,-4.73,-0.91,False,-13.1,250.18,225.43,200.68,12.37,0.1458585858585858,-5.43,-0.99
NIFTY5023JAN2523050CE,200.0,299.25,tp_1,2025-01-21 13:20:55,2025-01-21 13:30:30,49.62,115,2.88,-1.12,True,12.03,240.73,216.89,193.05,11.92,0.1457634228187917,-4.72,-0.96
NIFTY5023JAN2522900CE,238.2,232.85241,sl_1,2025-01-21 14:41:00,2025-01-21 14:41:45,-2.24,9,3.35,-0.66,False,-10.56,277.2,253.1,228.99,12.05,0.1910392034847538,2.73,-0.49
NIFTY5023JAN2522950CE,205.75,201.1309125,sl_1,2025-01-22 09:44:10,2025-01-22 09:44:30,-2.25,4,1.59,-0.75,False,-14.12,244.81,221.44,198.07,11.69,0.1643132220795893,1.83,-0.67
NIFTY5030JAN2522900CE,198.75,194.28806250000002,sl_1,2025-01-29 11:24:45,2025-01-29 11:24:55,-2.24,2,-12.6,-1.39,False,-14.74,239.92,216.09,192.27,11.91,0.1359916054564531,-10.11,-1.14
NIFTY5030JAN2522950CE,245.45,239.9396475,sl_1,2025-01-29 12:43:55,2025-01-29 12:51:15,-2.24,88,11.6,-0.5,False,-0.51,285.19,261.72,238.24,11.74,0.1535676251331199,5.2,-0.43
NIFTY5030JAN2522950CE,223.65,293.215125,sl_1,2025-01-29 13:02:25,2025-01-29 15:29:55,31.1,1768,7.43,-0.4,True,1.03,263.34,239.09,214.84,12.13,0.1816494845360826,4.84,-0.34
NIFTY5013FEB2522900CE,228.65,223.5168075,sl_1,2025-02-11 14:57:55,2025-02-11 14:58:15,-2.25,4,-5.2,-0.74,False,-3.97,265.82,241.92,218.01,11.95,0.2225475841874088,-7.72,-0.82
NIFTY5013FEB2522650CE,238.15,232.80353250000002,sl_1,2025-02-12 09:58:40,2025-02-12 09:59:00,-2.24,4,3.52,-0.51,False,-5.95,276.86,253.78,230.71,11.54,0.161213434452871,3.22,-0.53
NIFTY5013FEB2522700CE,222.9,333.51412500000004,tp_1,2025-02-12 10:44:30,2025-02-12 11:44:35,49.63,718,2.52,-0.73,True,9.26,263.02,238.51,213.99,12.26,0.1817254741994697,0.49,-0.67
NIFTY5013FEB2522800CE,241.65,236.22495750000002,sl_1,2025-02-12 14:22:40,2025-02-12 14:22:45,-2.24,1,4.91,-0.16,True,6.1,280.23,256.69,233.14,11.77,0.1807177744744109,3.98,-0.18
NIFTY5013FEB2522900CE,185.4,181.23777,sl_1,2025-02-13 13:36:25,2025-02-13 13:40:50,-2.24,53,2.52,-1.03,False,-4.82,223.38,200.27,177.16,11.55,0.1782778018173952,1.32,-0.72
NIFTY5013FEB2522850CE,220.8,215.84304000000003,sl_1,2025-02-13 14:07:40,2025-02-13 14:08:00,-2.24,4,9.71,-0.69,False,-9.23,262.54,237.67,212.8,12.43,0.1608363490148773,4.81,-0.49
NIFTY5013FEB2522800CE,228.0,222.8814,sl_1,2025-02-13 15:01:45,2025-02-13 15:01:55,-2.24,2,5.19,-0.73,False,-4.12,268.91,244.76,220.61,12.07,0.1530020703933744,-2.43,-0.79
NIFTY5013FEB2522800CE,221.55,230.4225,sl_1,2025-02-13 15:02:00,2025-02-13 15:29:55,4.0,335,2.57,-0.78,False,-0.09,263.06,239.0,214.94,12.03,0.1373649210307567,0.42,-0.75
NIFTY5020FEB2522850CE,263.9,257.975445,sl_1,2025-02-14 10:37:15,2025-02-14 10:37:20,-2.24,1,-3.83,-0.6,False,-7.68,301.34,278.13,254.92,11.61,0.1934510986643686,-3.73,-0.64
NIFTY5020FEB2522800CE,227.95,278.60175000000004,sl_1,2025-02-17 14:04:50,2025-02-17 15:29:55,22.22,1020,-0.16,-0.59,True,0.11,266.45,241.7,216.95,12.38,0.2222222222222222,-1.67,-0.66
NIFTY5020FEB2522650CE,209.1,204.40570499999998,sl_1,2025-02-20 09:29:25,2025-02-20 09:29:35,-2.25,2,7.97,-0.4,False,-8.57,249.18,224.41,199.64,12.38,0.1909568025837707,3.86,-0.48
NIFTY5020FEB2522600CE,228.15,311.96812500000004,sl_1,2025-02-20 09:47:30,2025-02-20 15:29:55,36.74,4014,0.4,-0.71,True,0.03,268.66,244.01,219.36,12.32,0.1782961460446245,-2.92,-0.78
NIFTY5006MAR2521850CE,232.4,227.18262000000001,sl_1,2025-03-04 09:25:55,2025-03-04 09:26:00,-2.24,1,8.39,-0.42,False,-9.97,270.82,247.82,224.82,11.5,0.1647826086956524,1.14,-0.61
NIFTY5006MAR2521850CE,227.1,222.001605,sl_1,2025-03-04 09:26:05,2025-03-04 09:26:30,-2.24,5,1.57,-0.7,False,-9.97,268.73,244.56,220.4,12.08,0.1386302503620936,3.42,-0.62
NIFTY5006MAR2522150CE,234.75,229.47986250000002,sl_1,2025-03-06 09:22:20,2025-03-06 09:22:30,-2.24,2,4.79,-0.9,False,-3.01,275.58,251.76,227.95,11.91,0.1427671635523832,-1.0,-0.74
NIFTY5006MAR2522150CE,230.15,224.9831325,sl_1,2025-03-06 09:22:35,2025-03-06 09:23:00,-2.24,5,4.12,-0.63,False,-6.17,269.89,246.53,223.18,11.68,0.1492185827445943,-1.68,-0.74
NIFTY5006MAR2522100CE,220.0,215.061,sl_1,2025-03-06 09:32:05,2025-03-06 09:32:50,-2.24,9,-3.65,-0.86,False,-5.33,259.78,235.06,210.34,12.36,0.1953883495145631,-4.41,-0.82
NIFTY5006MAR2522050CE,223.5,218.482425,sl_1,2025-03-06 09:48:15,2025-03-06 09:48:20,-2.24,1,7.48,-0.55,False,-8.59,265.18,240.95,216.72,12.11,0.1399092034667767,5.4,-0.51
NIFTY5013MAR2522250CE,208.95,312.6414375,tp_1,2025-03-13 09:27:55,2025-03-13 10:19:40,49.63,614,4.65,-0.74,True,1.34,248.89,225.2,201.51,11.84,0.157028281975517,3.14,-0.62
NIFTY5013MAR2522250CE,239.55,234.17210250000002,sl_1,2025-03-13 10:52:25,2025-03-13 10:52:35,-2.24,2,8.42,-0.62,False,-4.71,278.09,254.06,230.03,12.02,0.1980857261756141,2.56,-0.49
NIFTY5027MAR2523150CE,240.0,234.612,sl_1,2025-03-21 13:50:25,2025-03-21 13:53:05,-2.25,32,6.59,-0.54,False,-1.94,278.61,254.8,230.98,11.91,0.189376443418014,2.32,-0.51
NIFTY5027MAR2523500CE,232.8,227.57364,sl_1,2025-03-26 09:30:10,2025-03-26 09:30:20,-2.24,2,-2.78,-0.5,False,-7.41,269.17,245.72,222.28,11.72,0.2243548731072724,-1.26,-0.6
